"2013","JH JH","1.4 litre, A14NET (LUJ) I4 16v DOHC VVT Turbo MPFI {103KW}","03/11~,01/15,4D,Sedan,FWD,AT/MT,[AUSTRALIA],"
"2013","JH JH","1.6 litre, A16LET I4 16v DOHC Turbo MPFI {132KW}","03/13~On,4D,Hatch,FWD,AT/MT,[AUSTRALIA],"
"2013","JH JH","1.6 litre, A16LET I4 16v DOHC Turbo MPFI {132KW}","03/13~On,4D,Sedan,FWD,AT/MT,[AUSTRALIA],"
"2013","JH JH","1.8 litre, F18D4 (2H0) I4 16v DOHC VVT MPFI {104KW}","11/11~,02/13,4D,Hatch,FWD,AT/MT,[AUSTRALIA],"
"2013","JH JH","1.8 litre, F18D4 (2H0) I4 16v DOHC VVT MPFI {104KW}","03/11~,02/13,4D,Sedan,FWD,AT/MT,[AUSTRALIA],"
"2013","JH JH","1.8 litre, F18D4 (LUW) I4 16v DOHC VVT MPFI {104KW}","03/13~On,4D,Hatch,FWD,AT/MT,[AUSTRALIA],"
"2013","JH JH","1.8 litre, F18D4 (LUW) I4 16v DOHC VVT MPFI {104KW}","03/13~On,4D,Sedan,FWD,AT/MT,[AUSTRALIA],"
"2013","JH JH","2.0 litre, DIESEL, Z20D1 I4 16v DOHC Turbo CRD {120KW}","11/11~,02/15,4D,Hatch,FWD,AT/MT,[AUSTRALIA],"
"2013","JH JH","2.0 litre, DIESEL, Z20D1 I4 16v DOHC Turbo CRD {120KW}","03/11~,01/15,4D,Sedan,FWD,AT/MT,[AUSTRALIA],"
"2012","JH JA35","1.8 litre, F18D4 (2H0) I4 16v DOHC VVT MPFI {104KW}","11/11~01/13,CD, CDX,4D,Wagon,FWD,AT,[SOUTH KOREA],"
"2012","JH JH","1.4 litre, A14NET (LUJ) I4 16v DOHC VVT Turbo MPFI {103KW}","11/11~,01/15,4D,Hatch,FWD,AT/MT,[AUSTRALIA],"
"2012","JH JH","1.4 litre, A14NET (LUJ) I4 16v DOHC VVT Turbo MPFI {103KW}","03/11~,01/15,4D,Sedan,FWD,AT/MT,[AUSTRALIA],"
"2012","JH JH","1.8 litre, F18D4 (2H0) I4 16v DOHC VVT MPFI {104KW}","11/11~,02/13,4D,Hatch,FWD,AT/MT,[AUSTRALIA],"
"2012","JH JH","1.8 litre, F18D4 (2H0) I4 16v DOHC VVT MPFI {104KW}","03/11~,02/13,4D,Sedan,FWD,AT/MT,[AUSTRALIA],"
"2012","JH JH","2.0 litre, DIESEL, Z20D1 I4 16v DOHC Turbo CRD {120KW}","11/11~,02/15,4D,Hatch,FWD,AT/MT,[AUSTRALIA],"
"2012","JH JH","2.0 litre, DIESEL, Z20D1 I4 16v DOHC Turbo CRD {120KW}","03/11~,01/15,4D,Sedan,FWD,AT/MT,[AUSTRALIA],"
"2011","JG JA69","1.8 litre, F18D4 (2H0) I4 16v DOHC VVT MPFI {104KW}","05/09~02/11,CD, CDX,4D,Sedan,FWD,AT,[SOUTH KOREA],"
"2011","JG JA69","2.0 litre, DIESEL, Z20S1 (LLW) I4 16v SOHC Turbo CRD {110KW}",""
"2011","JG JF69","1.8 litre, F18D4 (2H0) I4 16v DOHC VVT MPFI {104KW}","05/09~02/11,CD, CDX,4D,Sedan,FWD,MT,[SOUTH KOREA],"
"2011","JG JF69","2.0 litre, DIESEL, Z20S1 (LLW) I4 16v SOHC Turbo CRD {110KW}","05/09~02/11,CD,4D,Sedan,FWD,MT,[SOUTH KOREA],"
"2011","JH JA35","1.8 litre, F18D4 (2H0) I4 16v DOHC VVT MPFI {104KW}","11/11~01/13,CD, CDX,4D,Wagon,FWD,AT,[SOUTH KOREA],"
"2011","JH JH","1.4 litre, A14NET (LUJ) I4 16v DOHC VVT Turbo MPFI {103KW}","11/11~,01/15,4D,Hatch,FWD,AT/MT,[AUSTRALIA],"
