2013,LW KXXGC,"2.0 litre, R9DA ECOBOOST I4 16v DOHC VVT Turbo Direct Inj {184KW}","10/12~06/14,ST,4D,Hatch,FWD,MT,[GERMANY],"
2012,LV GXXGC,"2.5 litre, B5254T I5 20v DOHC VVT Turbo MPFI {224KW}","09/10~06/12,RS,2D,Hatch,FWD,MT,[GERMANY],"
2012,LW 1XXMX,"1.6 litre, PNDA DURATEC I4 16v DOHC VVT Direct Inj {92KW}","07/12~09/15,AMBIENTE,4D,Hatch,FWD,MT/DCT,[THAILAND],"
2012,LW 1XXMX,"2.0 litre, DIESEL, TXDB DURATORQ I4 16v DOHC Turbo CRD {120KW}","07/12~09/15,4D,Hatch,FWD,DCT,[THAILAND],"
2012,LW 1XXMX,"2.0 litre, MGDA DURATEC I4 16v DOHC VVT Direct Inj {125KW}","07/12~09/15,4D,Hatch,FWD,MT/DCT,[THAILAND],"
2012,LW 2XXMX,"1.6 litre, PNDA DURATEC I4 16v DOHC VVT Direct Inj {92KW}","07/12~09/15,AMBIENTE,4D,Sedan,FWD,MT/DCT,[GERMANY],"
2012,LW 2XXMX,"2.0 litre, DIESEL, TXDB DURATORQ I4 16v DOHC Turbo CRD {120KW}","07/12~09/15,4D,Sedan,FWD,DCT,[THAILAND],"
2012,LW 2XXMX,"2.0 litre, MGDA DURATEC I4 16v DOHC VVT Direct Inj {125KW}","07/12~09/15,4D,Sedan,FWD,MT/DCT,[GERMANY],"
2012,LW KXXGC,"1.6 litre, PNDA DURATEC I4 16v DOHC VVT Direct Inj {92KW}","07/11~06/12,AMBIENTE,4D,Hatch,FWD,MT/DCT,[GERMANY],"
2012,LW KXXGC,"2.0 litre, DIESEL, TXDB DURATORQ I4 16v DOHC Turbo CRD {120KW}","07/11~06/12,4D,Hatch,FWD,MT,[GERMANY],"
2012,LW KXXGC,"2.0 litre, MGDA DURATEC I4 16v DOHC VVT Direct Inj {125KW}","07/11~06/12,4D,Hatch,FWD,MT/DCT,[GERMANY],"
2012,LW KXXGC,"2.0 litre, R9DA ECOBOOST I4 16v DOHC VVT Turbo Direct Inj {184KW}","10/12~06/14,ST,4D,Hatch,FWD,MT,[GERMANY],"
2012,LW MXXGC,"1.6 litre, PNDA DURATEC I4 16v DOHC VVT Direct Inj {92KW}","11/11~06/12,AMBIENTE,4D,Sedan,FWD,MT/DCT,[GERMANY],"
2012,LW MXXGC,"2.0 litre, DIESEL, TXDB DURATORQ I4 16v DOHC Turbo CRD {120KW}","07/11~06/12,4D,Sedan,FWD,MT,[GERMANY],"
2012,LW MXXGC,"2.0 litre, MGDA DURATEC I4 16v DOHC VVT Direct Inj {125KW}","07/11~06/12,4D,Sedan,FWD,MT/DCT,[GERMANY],"
2011,LT TXXMJ,"2.0 litre, DIESEL, D4204T I4 16v DOHC Turbo CRD {100KW}","07/07~06/11,2D,Sedan,FWD,MT/DCT,[SOUTH AFRICA],"
2011,LT UXXMJ,"2.0 litre, DIESEL, D4204T I4 16v DOHC Turbo CRD {100KW}","07/07~06/11,TDCi,4D,Hatch,FWD,MT/DCT,[SOUTH AFRICA],"
